Price,Model_year,Milage,Brand,Model,Fuel_type,Transmission,Accident,Clean_title,condition
26995,2018.0,27009.0,honda,accord,gas,automatic,Unknown,Clean,excellent
18990,2018.0,42183.0,chevrolet,malibu hybrid sedan 4d,hybrid,automatic,Unknown,Clean,good
18995,2020.0,14517.0,chevrolet,spark,gas,automatic,Unknown,Clean,
16589,2018.0,84867.0,ford,fusion,gas,automatic,Unknown,Clean,excellent
19995,2005.0,186230.0,gmc,sierra 3500 crew-cab dually,diesel,automatic,Unknown,Clean,
14777,2018.0,86508.0,nissan,sentra,gas,automatic,Unknown,Clean,excellent
19990,2014.0,40345.0,ford,focus st hatchback 4d,gas,other,Unknown,Clean,good
13499,2015.0,93485.0,toyota,camry,gas,automatic,Unknown,Clean,
17777,2013.0,101182.0,dodge,durango,gas,automatic,Unknown,Clean,
4700,2011.0,217000.0,mazda,,diesel,other,Unknown,Clean,
5500,2001.0,116000.0,bmw,7 series,gas,automatic,Unknown,Clean,good
5500,2001.0,171620.0,lexus,ls 430,gas,automatic,Unknown,Clean,excellent
31995,2010.0,27057.0,chevrolet,silverado,gas,automatic,Unknown,Clean,
41768,2017.0,28054.0,chevrolet,colorado,other,automatic,Unknown,Clean,
24995,2012.0,107611.0,cadillac,escalade esv 2wd 4dr p,gas,automatic,Unknown,Clean,
41488,2016.0,111317.0,ram,2500 power wagon,gas,automatic,Unknown,Clean,good
6999,2010.0,153694.0,toyota,camry le,gas,automatic,Unknown,Clean,
9995,2008.0,142679.0,toyota,rav4 limited,gas,automatic,Unknown,Unknown,excellent
15999,2014.0,83100.0,bmw,328i,gas,automatic,Unknown,Clean,
54995,2017.0,108735.0,gmc,sierra 2500 slt,other,automatic,Unknown,Clean,
9498,2006.0,112512.0,chevrolet,silverado 1500,gas,automatic,Unknown,Clean,excellent
9500,2013.0,99700.0,bmw,328i sedan,gas,automatic,Unknown,Clean,good
5500,2006.0,128000.0,buick,rendezvous,gas,automatic,Unknown,Clean,
11990,2017.0,81611.0,fiat,500,other,manual,Unknown,Clean,
55995,2019.0,43881.0,ford,f-150,gas,automatic,Unknown,Clean,excellent
29999,2018.0,32047.0,nissan,pathfinder,gas,automatic,Unknown,Clean,
9950,2002.0,142000.0,toyota,sequoia,gas,automatic,Unknown,Clean,like new
